team,PTS,REB,AST,STL,BLK,TOV,FG3M,FG_pct,FT_pct
1,663.4906463414635,200.3603170731708,126.86219512195122,38.81901219512196,19.560817073170735,71.74923170731707,69.48575609756098,0.4803719544620609,0.8428434002325166
2,610.3609024390244,215.02130487804877,139.51742682926832,45.74858536585367,39.632975609756095,70.51646341463416,65.40757317073171,0.46174976631336356,0.8291170589852938
3,664.3466951219511,129.34975609756097,193.1623536585366,38.63496341463415,11.590121951219514,74.41017073170732,82.93386585365856,0.4763216308912282,0.859616925907712
4,527.1337195121952,296.1472926829269,83.68448780487806,33.32717073170732,43.5389756097561,61.07423170731708,25.257451219512195,0.5449165824297842,0.7724844989363735
5,635.7102073170732,230.82593902439024,128.73836585365854,42.24909756097561,27.475512195121954,71.60112195121953,62.83413414634147,0.4872833255558371,0.7596071270076665
6,754.6559146341465,216.22052439024392,212.81015853658542,43.5764512195122,20.297268292682926,103.20996341463415,79.66563414634146,0.4585777711517534,0.818401154897495
7,619.6694512195122,182.46703658536586,163.8834024390244,44.21106097560976,19.20996341463415,74.69076829268293,77.90206097560977,0.47583862578256153,0.7857529646777309
8,560.3011707317073,302.62092682926834,132.20481707317074,42.560170731707316,44.050743902439024,70.0539512195122,38.83198780487805,0.5316529311917024,0.6982712864691274
9,523.481,183.9029756097561,120.94506097560978,38.17304878048781,24.828658536585365,57.565268292682944,65.27756097560976,0.47897669300715107,0.825878135312966
10,603.1293902439025,182.63384146341465,107.07439024390244,41.300768292682925,21.982987804878054,63.2919512195122,79.576,0.47801124192351957,0.8205196181533918
