player_id,FGA_mean,FTA_mean,FG_pct_used,FT_pct_used,PTS,REB,AST,STL,BLK,FG3M,TOV,FG,FT,sum_raw,risk_penalty,H2H_value,availability_multiplier,rank_H2H
bridgmi01,46.14084146341463,8.407,0.4790129519813986,0.7632946652463349,0.9002932551319649,0.6451612903225807,0.8240469208211143,0.9296187683284458,0.8123167155425219,0.9090909090909092,-0.7419354838709677,0.7096774193548387,0.7302052785923754,5.718475073313783,0.08756459471768312,5.4923351451106495,0.975390243902439,1.0
gilgesh01,60.1545,27.181256097560976,0.5350144846655028,0.8712614884328058,1.0,0.7008797653958945,0.9589442815249267,0.9882697947214076,0.8797653958944283,0.6979472140762464,-0.8914956011730205,0.9853372434017595,1.0,6.319648093841643,0.196639181637411,5.3031230846920066,0.8660975609756097,2.0
jokicni01,52.37732926829269,20.016585365853658,0.5810008288693966,0.8020427250911286,0.9912023460410557,1.0,1.0,0.9765395894428153,0.8533724340175952,0.6803519061583578,-0.9882697947214076,0.9970674486803519,0.9618768328445748,6.472140762463344,0.2900109217319176,5.198718845091173,0.8409268292682928,3.0
duranke01,53.25975609756098,17.89353658536585,0.5283949733261863,0.8445458936153876,0.9853372434017595,0.8269794721407624,0.8680351906158357,0.6275659824046922,0.9325513196480939,0.8944281524926687,-0.9794721407624634,0.9765395894428153,0.9853372434017595,6.117302052785924,0.160801852586049,5.032370986212768,0.8448536585365855,4.0
johnsja05,51.4823536585366,16.763036585365857,0.4884140691482084,0.7684151855521548,0.9618768328445748,0.9882697947214076,0.9912023460410557,0.9237536656891496,0.5806451612903225,0.7419354838709677,-0.9912023460410557,0.8416422287390029,0.8914956011730206,5.929618768328446,0.2050925902056378,4.944594392001003,0.8637560975609756,5.0
adebaba01,46.50782926829268,17.40780487804878,0.4814093074820388,0.7523859251926603,0.9208211143695015,0.9853372434017595,0.7859237536656891,0.9266862170087977,0.8680351906158357,0.5043988269794721,-0.8651026392961877,0.7478005865102639,0.8416422287390029,5.715542521994136,0.18085948564338716,4.918578319816485,0.8886829268292683,6.0
edwaran01,60.89504878048781,20.353951219512197,0.4675567304344009,0.7937836397477945,0.9941348973607038,0.7888563049853372,0.8328445747800586,0.935483870967742,0.8064516129032258,0.9912023460410557,-0.9765395894428153,0.49560117302052786,0.9530791788856305,5.8211143695014655,0.22115406648526892,4.8386388706012635,0.864048780487805,7.0
knuepko01,45.04713414634147,9.89108536585366,0.4747805334354084,0.8145667026058135,0.935483870967742,0.847507331378299,0.7800586510263929,0.6510263929618769,0.22580645161290325,0.9941348973607038,-0.8826979472140762,0.6217008797653958,0.8797653958944283,5.052785923753665,0.08028954007108761,4.790454503879954,0.9633902439024391,8.0
derozde01,48.018036585365856,19.810682926829276,0.4873225444993588,0.8401117893471459,0.9530791788856305,0.5073313782991202,0.8709677419354838,0.8680351906158357,0.5777126099706744,0.3108504398826979,-0.7008797653958945,0.81524926686217,0.9882697947214076,5.190615835777126,0.11156715177352726,4.646710149682317,0.9148780487804877,9.0
barnesc01,43.80036585365853,12.431146341463414,0.4775328051321498,0.7549079625257893,0.8826979472140764,0.9120234604105573,0.9413489736070382,0.9413489736070382,0.9501466275659824,0.4545454545454546,-0.9413489736070382,0.6627565982404693,0.782991202346041,5.586510263929619,0.148096123344108,4.629549520358915,0.8512682926829268,10.0
halibty01,40.97415853658537,9.995402439024392,0.4779664752541829,0.8130807439633948,0.8914956011730206,0.43695014662756604,0.9970674486803519,0.9384164222873901,0.7653958944281525,0.9560117302052786,-0.8181818181818181,0.6392961876832846,0.8768328445747802,5.683284457478006,0.16003336089802833,4.589148094051062,0.8308780487804879,11.0
murraja01,51.25032926829268,12.754939024390245,0.4754753019543532,0.84491820011399,0.9589442815249267,0.5850439882697946,0.9736070381231672,0.847507331378299,0.6275659824046922,0.9442815249266863,-0.8709677419354839,0.6744868035190617,0.9413489736070382,5.6818181818181825,0.184830026031494,4.567326793049496,0.8308780487804879,12.0
siakapa01,53.48426829268293,16.82680487804878,0.5022530268964487,0.7047005823003395,0.9706744868035191,0.903225806451613,0.8211143695014662,0.7859237536656891,0.6363636363636365,0.7096774193548387,-0.8475073313782991,0.9208211143695015,0.5601173020527859,5.460410557184751,0.14338270765758152,4.5460588113457305,0.855,13.0
avdijde01,41.64735365853659,19.95939024390244,0.4729255343570876,0.7713197371444352,0.9061583577712611,0.9413489736070382,0.9061583577712611,0.7565982404692082,0.7331378299120235,0.7565982404692082,-0.9824046920821115,0.5601173020527859,0.9178885630498534,5.495601173020528,0.21218833012502838,4.5180911630429055,0.8551463414634146,14.0
brownja01,59.67730487804878,18.23457317073171,0.479149601085277,0.7567959008373757,0.9794721407624634,0.8651026392961876,0.8592375366568914,0.8797653958944283,0.5366568914956011,0.8240469208211143,-0.9736070381231672,0.7741935483870968,0.8739002932551319,5.618768328445748,0.2005328728567154,4.480484265519282,0.8269268292682928,15.0
okongon01,29.21287804878049,8.980658536585365,0.5349241295508893,0.7246195381360149,0.718475073313783,0.9530791788856305,0.5542521994134897,0.7126099706744868,0.9413489736070382,0.4750733137829912,-0.6275659824046921,0.9149560117302054,0.5923753665689149,5.234604105571847,0.10347237265971028,4.401885279066308,0.8578780487804879,16.0
townska01,41.766097560975616,15.163621951219511,0.5094780238840407,0.8272547023732705,0.9090909090909092,0.9824046920821115,0.6891495601173021,0.565982404692082,0.7272727272727273,0.750733137829912,-0.9237536656891495,0.903225806451613,0.9472140762463344,5.551319648093842,0.17586428967125337,4.388075985147455,0.8163170731707318,17.0
jamesle01,46.72175609756098,14.48530487804878,0.5178117014738425,0.739013542473196,0.9442815249266863,0.8621700879765395,0.9794721407624634,0.8211143695014662,0.6656891495601174,0.7155425219941349,-0.9706744868035191,0.9413489736070382,0.7595307917888563,5.718475073313784,0.20094273509032654,4.380651528630487,0.7939512195121952,18.0
vucevni01,39.95984146341464,5.759036585365855,0.5052413764994146,0.7450307438613255,0.8357771260997067,0.9648093841642229,0.7302052785923754,0.4428152492668622,0.8005865102639296,0.6568914956011731,-0.6715542521994136,0.8885630498533725,0.595307917888563,5.2434017595307925,0.1265783560795304,4.373386403101038,0.8547073170731707,19.0
mitchdo01,57.901097560975614,17.206853658536588,0.468001242415122,0.8321185286286398,0.9824046920821115,0.6774193548387097,0.9120234604105573,0.9736070381231672,0.42815249266862176,0.9853372434017595,-0.9325513196480939,0.5043988269794721,0.967741935483871,5.498533724340176,0.1989702730910735,4.325865610315945,0.8162682926829268,20.0
flaggco01,50.37054878048781,15.374219512195122,0.467146566336993,0.8035378601856576,0.9384164222873901,0.8768328445747802,0.847507331378299,0.8914956011730206,0.8826979472140764,0.3900293255131966,-0.8885630498533724,0.4428152492668622,0.9266862170087977,5.307917888563051,0.17422484073680913,4.324572938678604,0.842390243902439,21.0
doncilu01,59.46081707317074,24.865707317073173,0.4723397659346736,0.7674826547037442,0.9970674486803519,0.9090909090909092,0.9853372434017595,0.967741935483871,0.5718475073313782,0.9882697947214076,-0.9941348973607038,0.6304985337243403,0.935483870967742,5.991202346041057,0.28832024001827206,4.293296563036567,0.7528292682926829,22.0
banede01,43.59548780487805,10.996829268292684,0.4781807276889244,0.8564156571094379,0.903225806451613,0.6744868035190617,0.8445747800586509,0.8064516129032258,0.5601173020527859,0.8885630498533725,-0.8680351906158358,0.6774193548387097,0.9296187683284458,5.41642228739003,0.14745571360409074,4.289067302441603,0.8140243902439024,23.0
queende01,31.45970731707317,12.058268292682929,0.4743030025724769,0.7595106556442888,0.7008797653958945,0.9442815249266863,0.8299120234604105,0.9090909090909092,0.9266862170087977,-0.14369501466275658,-0.9442815249266863,0.49853372434017595,0.7947214076246334,4.516129032258064,0.1198156292249488,4.237509984743065,0.9638780487804878,24.0
foxde01,48.72298780487805,13.785817073170737,0.4768991534589338,0.753967569937895,0.9325513196480939,0.563049853372434,0.9442815249266863,0.9560117302052786,0.3695014662756597,0.7947214076246334,-0.906158357771261,0.6891495601173021,0.8064516129032258,5.1495601173020535,0.15301447014743969,4.209285040310252,0.8424390243902439,25.0
harrito01,32.448243902439025,7.594402439024391,0.4782039258415501,0.815759260768955,0.7126099706744868,0.782991202346041,0.5865102639296187,0.8093841642228738,0.7419354838709677,0.565982404692082,-0.4574780058651027,0.5865102639296187,0.8123167155425219,5.140762463343108,0.0792905008766609,4.194602300992316,0.8287317073170732,26.0
anunoog01,35.017073170731706,8.60470731707317,0.4822868541423732,0.7690903714525077,0.7976539589442815,0.6715542521994136,0.4516129032258065,0.9618768328445748,0.8211143695014662,0.8299120234604105,-0.7038123167155426,0.6686217008797655,0.7536656891495601,5.252199413489737,0.11261742374715547,4.137864924375924,0.8050975609756098,27.0
wembavi01,43.71756097560976,14.792963414634148,0.4889920313021488,0.8002367933856888,0.9120234604105573,0.967741935483871,0.6656891495601174,0.7390029325513197,1.0,0.8064516129032258,-0.9266862170087976,0.8064516129032258,0.9208211143695015,5.8914956011730215,0.27264300958265103,4.096417629639702,0.7290487804878049,28.0
portemi01,46.7904756097561,9.33817073170732,0.4787207861325324,0.782224544984869,0.9237536656891496,0.8944281524926687,0.5278592375366569,0.5513196480938416,0.5982404692082111,0.9706744868035191,-0.7390029325513197,0.7067448680351907,0.7976539589442815,5.2316715542522,0.16541280271417277,4.082045313586798,0.8057317073170731,29.0
randlju01,47.343048780487806,18.35528048780488,0.47711221548504,0.7750981456173869,0.9501466275659824,0.9237536656891496,0.8885630498533725,0.6656891495601174,0.1950146627565983,0.7272727272727273,-0.9618768328445748,0.6803519061583578,0.9120234604105573,4.980938416422289,0.15885500697639673,4.057841994943956,0.8415121951219513,30.0
thompam01,33.87154878048781,12.725573170731709,0.5429877703702574,0.7129661321492251,0.8035190615835777,0.9472140762463344,0.8387096774193548,0.9824046920821115,0.8856304985337244,-0.2697947214076246,-0.8768328445747801,0.9472140762463344,0.5865102639296187,4.84457478005865,0.14740448082488936,4.057667747762472,0.8638536585365854,31.0
lopezbr01,27.226243902439027,5.435158536585366,0.4812455313029293,0.7147476995304608,0.6041055718475072,0.7126099706744868,0.2785923753665689,0.4134897360703813,0.9941348973607038,0.7683284457478006,-0.42228739002932547,0.5806451612903225,0.4222873900293256,4.351906158357771,0.0712981873212462,3.9815918434987543,0.9301463414634147,32.0
alexani01,37.62337804878049,8.708341463414635,0.4517446160793211,0.799848569047971,0.8445747800586509,0.5454545454545454,0.7976539589442815,0.8885630498533725,0.7741935483870968,0.9472140762463344,-0.8093841642228738,-0.3782991202346041,0.81524926686217,4.425219941348973,0.1251950710410931,3.981088879317484,0.925829268292683,33.0
whitede01,42.12181707317074,8.542560975609756,0.4279105171443353,0.8266791487228241,0.8709677419354838,0.7067448680351907,0.9296187683284458,0.8826979472140764,0.9560117302052786,0.9824046920821115,-0.7917888563049853,-0.9560117302052786,0.8592375366568914,4.439882697947214,0.10969715533267721,3.9557829146006696,0.9135365853658536,34.0
buzelma01,37.96919512195122,9.16769512195122,0.4609771874896594,0.7440634407213199,0.8299120234604105,0.8563049853372433,0.43988269794721413,0.43401759530791795,0.9824046920821115,0.8797653958944283,-0.8269794721407624,0.0997067448680351,0.6950146627565983,4.390029325513196,0.12801287389716862,3.9468351374379838,0.9260487804878049,35.0
turnemy01,30.578731707317075,10.103219512195125,0.4838536311142792,0.7252418482158577,0.7360703812316716,0.8533724340175952,0.19354838709677424,0.4222873900293256,0.9912023460410557,0.7917888563049853,-0.6304985337243402,0.6363636363636365,0.6334310850439884,4.627565982404692,0.0834659723815731,3.941618847718591,0.8674146341463415,36.0
reaveau01,37.42182926829268,16.18698780487805,0.4821423751427289,0.8457237209984805,0.8973607038123168,0.6129032258064515,0.8973607038123168,0.7096774193548387,0.3665689149560116,0.847507331378299,-0.8944281524926686,0.6920821114369502,0.9706744868035191,5.099706744868035,0.17873332530653033,3.8873289539697073,0.789951219512195,37.0
leonaka01,45.1329268292683,12.565426829268294,0.5087813006639305,0.84313661563651,0.9266862170087977,0.7448680351906158,0.6686217008797655,0.9530791788856305,0.5747800586510263,0.7888563049853372,-0.7096774193548387,0.9178885630498534,0.9325513196480939,5.797653958944282,0.18019345951376964,3.8863235869840604,0.6918292682926829,38.0
bookede01,54.435585365853655,20.89004878048781,0.4691761261439207,0.8593199383364422,0.9765395894428153,0.5513196480938416,0.9560117302052786,0.653958944281525,0.281524926686217,0.8328445747800586,-0.9530791788856305,0.5219941348973607,0.9941348973607038,4.815249266862169,0.20698820303608884,3.7729294485491183,0.8187317073170731,39.0
johnske01,34.978829268292685,9.69730487804878,0.4823835201213263,0.7373123298012433,0.7859237536656891,0.8064516129032258,0.4545454545454546,0.46041055718475077,0.19941348973607043,0.6656891495601174,-0.5131964809384164,0.6715542521994136,0.6744868035190617,4.205278592375367,0.07977721227907399,3.727943917833843,0.9036341463414634,40.0
